timestamp,memory_mb,memory_percent
1749205391.44,983.07,19.88
1749205392.46,983.07,19.88
1749205392.62,983.07,19.88
1749205392.84,983.26,19.89
1749205393.02,983.38,19.89
1749205393.17,983.38,19.89
1749205393.35,983.56,19.89
1749205393.51,983.69,19.90
1749205393.66,983.69,19.90
1749205393.80,983.69,19.90
1749205393.93,983.69,19.90
1749205394.07,983.69,19.90
1749205394.20,983.69,19.90
1749205394.35,983.81,19.90
1749205394.48,983.81,19.90
1749205394.64,983.81,19.90
1749205394.78,983.81,19.90
1749205394.96,983.81,19.90
1749205395.11,983.81,19.90
1749205395.25,984.00,19.90
1749205395.40,984.00,19.90
1749205395.58,984.00,19.90
1749205395.75,984.00,19.90
1749205395.93,984.00,19.90
1749205396.11,984.00,19.90
1749205396.27,984.15,19.90
1749205396.40,984.15,19.90
1749205396.55,984.15,19.90
1749205396.76,984.31,19.91
1749205396.94,984.31,19.91
1749205397.15,984.31,19.91
1749205397.30,984.31,19.91
1749205397.47,984.31,19.91
1749205397.62,984.44,19.91
1749205397.77,984.44,19.91
1749205397.92,984.44,19.91
1749205398.11,984.44,19.91
1749205398.29,984.44,19.91
1749205398.44,984.44,19.91
1749205398.60,984.44,19.91
1749205398.76,984.44,19.91
1749205398.93,984.44,19.91
1749205399.07,984.57,19.91
1749205399.24,984.70,19.92
1749205399.40,984.70,19.92
1749205399.55,984.70,19.92
1749205399.71,984.88,19.92
1749205399.87,984.88,19.92
1749205400.07,984.88,19.92
1749205400.21,984.88,19.92
1749205400.36,984.88,19.92
1749205400.52,984.88,19.92
1749205400.66,984.88,19.92
1749205400.82,985.04,19.92
1749205401.00,985.04,19.92
1749205401.16,985.04,19.92
1749205401.35,985.04,19.92
1749205401.52,985.04,19.92
1749205401.72,985.04,19.92
1749205401.87,985.04,19.92
1749205402.11,985.04,19.92
1749205402.27,985.04,19.92
1749205402.45,985.04,19.92
1749205403.45,985.23,19.93
1749205403.77,985.23,19.93
1749205404.03,985.23,19.93
1749205404.30,985.23,19.93
1749205404.43,985.35,19.93
1749205404.58,985.35,19.93
1749205405.46,985.35,19.93
1749205406.45,985.48,19.93
1749205406.97,985.66,19.94
1749205407.15,985.66,19.94
1749205407.30,985.66,19.94
1749205407.48,985.66,19.94
1749205407.62,985.66,19.94
1749205407.80,985.66,19.94
1749205408.13,985.66,19.94
1749205408.28,985.66,19.94
1749205408.45,985.66,19.94
1749205408.63,985.66,19.94
1749205408.77,985.66,19.94
1749205408.91,985.66,19.94
1749205409.03,985.66,19.94
1749205409.16,985.66,19.94
1749205409.31,985.66,19.94
1749205409.45,985.66,19.94
1749205409.58,985.66,19.94
1749205409.82,985.66,19.94
1749205409.99,985.66,19.94
1749205410.45,985.66,19.94
1749205410.59,985.66,19.94
1749205411.09,985.66,19.94
1749205411.27,985.66,19.94
1749205411.44,985.66,19.94
1749205411.57,985.66,19.94
1749205411.71,985.66,19.94
1749205411.89,985.66,19.94
1749205412.10,985.66,19.94
1749205412.36,985.66,19.94
1749205412.52,985.66,19.94
1749205412.65,985.66,19.94
1749205413.46,985.66,19.94
1749205413.65,985.66,19.94
1749205413.80,985.66,19.94
1749205413.99,985.66,19.94
1749205414.18,985.66,19.94
1749205414.36,985.66,19.94
1749205414.49,985.66,19.94
1749205414.64,985.66,19.94
1749205414.78,985.66,19.94
1749205414.91,985.66,19.94
1749205415.06,985.66,19.94
1749205415.44,985.66,19.94
1749205415.59,985.66,19.94
1749205415.73,985.66,19.94
1749205415.86,985.66,19.94
1749205416.01,985.66,19.94
1749205416.16,985.66,19.94
1749205416.30,985.66,19.94
1749205416.43,985.66,19.94
1749205416.58,985.66,19.94
1749205416.73,985.66,19.94
1749205416.88,985.66,19.94
1749205417.03,985.66,19.94
1749205417.19,985.66,19.94
1749205417.35,985.66,19.94
1749205417.59,985.66,19.94
1749205417.76,985.66,19.94
1749205417.91,985.66,19.94
1749205418.05,985.66,19.94
1749205418.23,985.66,19.94
1749205418.40,985.66,19.94
1749205418.57,985.66,19.94
1749205418.75,985.66,19.94
1749205418.91,985.66,19.94
1749205419.06,985.66,19.94
1749205419.23,985.66,19.94
1749205419.65,985.66,19.94
1749205419.79,985.66,19.94
1749205419.94,985.66,19.94
1749205420.10,985.66,19.94
1749205420.47,985.66,19.94
1749205420.65,985.66,19.94
1749205420.80,985.66,19.94
1749205420.96,985.66,19.94
1749205421.12,985.66,19.94
1749205421.28,985.66,19.94
1749205421.46,985.66,19.94
1749205421.59,985.66,19.94
1749205421.77,985.66,19.94
1749205421.92,985.66,19.94
1749205422.08,985.66,19.94
1749205422.24,985.81,19.94
1749205422.39,985.81,19.94
1749205422.56,985.81,19.94
1749205422.72,985.81,19.94
1749205422.86,985.81,19.94
1749205423.00,985.81,19.94
1749205423.16,985.93,19.94
