frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol,frame.len
"1925","Feb  9, 2025 01:29:22.844000819 IST","185.125.190.82","172.20.0.5","80","42272","TCP","2922"
"1926","Feb  9, 2025 01:29:22.844017400 IST","185.125.190.83","172.20.0.3","80","37384","TCP","4350"
"1927","Feb  9, 2025 01:29:22.844027676 IST","172.20.0.8","185.125.190.83","43284","80","TCP","94"
"1928","Feb  9, 2025 01:29:22.844038951 IST","91.189.91.83","172.20.0.6","80","38854","TCP","2922"
"1929","Feb  9, 2025 01:29:22.844044007 IST","172.20.0.6","91.189.91.83","38854","80","TCP","94"
"1930","Feb  9, 2025 01:29:22.844138951 IST","172.20.0.7","185.125.190.82","33680","80","TCP","94"
"1931","Feb  9, 2025 01:29:22.844142929 IST","172.20.0.9","91.189.91.83","45282","80","TCP","94"
"1932","Feb  9, 2025 01:29:22.844169590 IST","91.189.91.83","172.20.0.9","80","45282","TCP","2922"
"1933","Feb  9, 2025 01:29:22.844300753 IST","172.20.0.5","185.125.190.82","42272","80","TCP","94"
"1934","Feb  9, 2025 01:29:22.844305303 IST","172.20.0.4","91.189.91.83","42916","80","TCP","94"
"1935","Feb  9, 2025 01:29:22.844308471 IST","172.20.0.2","91.189.91.83","43416","80","TCP","94"
"1936","Feb  9, 2025 01:29:22.844542386 IST","185.125.190.82","172.20.0.7","80","33680","TCP","4350"
"1937","Feb  9, 2025 01:29:22.844685411 IST","172.20.0.10","185.125.190.83","45774","80","TCP","94"
"1938","Feb  9, 2025 01:29:22.844811402 IST","185.125.190.83","172.20.0.8","80","43284","TCP","5778"
"1939","Feb  9, 2025 01:29:22.844853037 IST","185.125.190.82","172.20.0.5","80","42272","TCP","4350"
"1940","Feb  9, 2025 01:29:22.844874435 IST","91.189.91.83","172.20.0.2","80","43416","TCP","2922"
"1941","Feb  9, 2025 01:29:22.844895860 IST","185.125.190.83","172.20.0.3","80","37384","TCP","4350"
"1942","Feb  9, 2025 01:29:22.844938593 IST","91.189.91.83","172.20.0.6","80","38854","TCP","2922"
"1943","Feb  9, 2025 01:29:22.844942883 IST","172.20.0.6","91.189.91.83","38854","80","TCP","94"
"1944","Feb  9, 2025 01:29:22.845130028 IST","172.20.0.3","185.125.190.83","37384","80","TCP","94"
"1945","Feb  9, 2025 01:29:22.845237563 IST","185.125.190.82","172.20.0.7","80","33680","TCP","1494"
"1946","Feb  9, 2025 01:29:22.845279432 IST","172.20.0.9","91.189.91.83","45282","80","TCP","94"
"1947","Feb  9, 2025 01:29:22.845359397 IST","185.125.190.82","172.20.0.7","80","33680","TCP","2922"
"1948","Feb  9, 2025 01:29:22.845401677 IST","91.189.91.83","172.20.0.9","80","45282","TCP","2922"
"1949","Feb  9, 2025 01:29:22.845578047 IST","185.125.190.82","172.20.0.5","80","42272","TCP","4350"
"1950","Feb  9, 2025 01:29:22.845598709 IST","185.125.190.83","172.20.0.3","80","37384","TCP","4350"
"1951","Feb  9, 2025 01:29:22.845618933 IST","91.189.91.83","172.20.0.6","80","38854","TCP","2922"
"1952","Feb  9, 2025 01:29:22.845623710 IST","172.20.0.6","91.189.91.83","38854","80","TCP","94"
"1953","Feb  9, 2025 01:29:22.845653809 IST","172.20.0.7","185.125.190.82","33680","80","TCP","94"
"1954","Feb  9, 2025 01:29:22.845774243 IST","185.125.190.83","172.20.0.8","80","43284","TCP","2922"
"1955","Feb  9, 2025 01:29:22.845788867 IST","172.20.0.8","185.125.190.83","43284","80","TCP","94"
"1956","Feb  9, 2025 01:29:22.845965621 IST","172.20.0.5","185.125.190.82","42272","80","TCP","94"
"1957","Feb  9, 2025 01:29:22.845972800 IST","172.20.0.2","91.189.91.83","43416","80","TCP","94"
"1958","Feb  9, 2025 01:29:22.845978878 IST","185.125.190.82","172.20.0.7","80","33680","TCP","1494"
"1959","Feb  9, 2025 01:29:22.846011527 IST","185.125.190.82","172.20.0.7","80","33680","TCP","2922"
"1960","Feb  9, 2025 01:29:22.846223518 IST","185.125.190.83","172.20.0.10","80","45774","TCP","2922"
"1961","Feb  9, 2025 01:29:22.846260458 IST","185.125.190.83","172.20.0.8","80","43284","TCP","4350"
"1962","Feb  9, 2025 01:29:22.846266492 IST","172.20.0.8","185.125.190.83","43284","80","TCP","94"
"1963","Feb  9, 2025 01:29:22.846283562 IST","185.125.190.83","172.20.0.8","80","43284","TCP","1494"
"1964","Feb  9, 2025 01:29:22.846286189 IST","172.20.0.8","185.125.190.83","43284","80","TCP","94"
"1965","Feb  9, 2025 01:29:22.846352675 IST","185.125.190.82","172.20.0.5","80","42272","TCP","4350"
"1966","Feb  9, 2025 01:29:22.846370826 IST","185.125.190.83","172.20.0.3","80","37384","TCP","2922"
"1967","Feb  9, 2025 01:29:22.846403205 IST","185.125.190.83","172.20.0.3","80","37384","TCP","1494"
"1968","Feb  9, 2025 01:29:22.846426268 IST","91.189.91.83","172.20.0.2","80","43416","TCP","2922"
"1969","Feb  9, 2025 01:29:22.846447568 IST","91.189.91.83","172.20.0.6","80","38854","TCP","2922"
"1970","Feb  9, 2025 01:29:22.846457343 IST","172.20.0.6","91.189.91.83","38854","80","TCP","94"
"1971","Feb  9, 2025 01:29:22.846510587 IST","172.20.0.9","91.189.91.83","45282","80","TCP","94"
"1972","Feb  9, 2025 01:29:22.846530503 IST","91.189.91.83","172.20.0.9","80","45282","TCP","2922"
"1973","Feb  9, 2025 01:29:22.846707341 IST","172.20.0.3","185.125.190.83","37384","80","TCP","94"
"1974","Feb  9, 2025 01:29:22.846760489 IST","185.125.190.82","172.20.0.7","80","33680","TCP","1494"
"1975","Feb  9, 2025 01:29:22.846785830 IST","185.125.190.82","172.20.0.7","80","33680","TCP","2922"
"1976","Feb  9, 2025 01:29:22.846811566 IST","91.189.91.83","172.20.0.4","80","42916","TCP","1494"
"1977","Feb  9, 2025 01:29:22.846820383 IST","91.189.91.83","172.20.0.4","80","42916","TCP","1494"
"1978","Feb  9, 2025 01:29:22.847093135 IST","172.20.0.7","185.125.190.82","33680","80","TCP","94"
"1979","Feb  9, 2025 01:29:22.847132283 IST","185.125.190.83","172.20.0.3","80","37384","TCP","4350"
"1980","Feb  9, 2025 01:29:22.847153788 IST","185.125.190.82","172.20.0.5","80","42272","TCP","4350"
"1981","Feb  9, 2025 01:29:22.847198128 IST","91.189.91.83","172.20.0.6","80","38854","TCP","2922"
"1982","Feb  9, 2025 01:29:22.847202911 IST","172.20.0.6","91.189.91.83","38854","80","TCP","94"
"1983","Feb  9, 2025 01:29:22.847220779 IST","185.125.190.83","172.20.0.8","80","43284","TCP","1494"
"1984","Feb  9, 2025 01:29:22.847337774 IST","172.20.0.10","185.125.190.83","45774","80","TCP","94"
"1985","Feb  9, 2025 01:29:22.847429504 IST","185.125.190.83","172.20.0.8","80","43284","TCP","4350"
"1986","Feb  9, 2025 01:29:22.847443737 IST","185.125.190.83","172.20.0.8","80","43284","TCP","1494"
"1987","Feb  9, 2025 01:29:22.847465884 IST","172.20.0.5","185.125.190.82","42272","80","TCP","94"
"1988","Feb  9, 2025 01:29:22.847469862 IST","172.20.0.2","91.189.91.83","43416","80","TCP","94"
"1989","Feb  9, 2025 01:29:22.847619059 IST","185.125.190.82","172.20.0.7","80","33680","TCP","4350"
"1990","Feb  9, 2025 01:29:22.847645374 IST","91.189.91.83","172.20.0.9","80","45282","TCP","2922"
"1991","Feb  9, 2025 01:29:22.847647265 IST","172.20.0.9","91.189.91.83","45282","80","TCP","94"
"1992","Feb  9, 2025 01:29:22.847939872 IST","185.125.190.83","172.20.0.3","80","37384","TCP","4350"
"1993","Feb  9, 2025 01:29:22.847943305 IST","172.20.0.4","91.189.91.83","42916","80","TCP","94"
"1994","Feb  9, 2025 01:29:22.847961483 IST","185.125.190.82","172.20.0.5","80","42272","TCP","2922"
"1995","Feb  9, 2025 01:29:22.847963142 IST","185.125.190.82","172.20.0.5","80","42272","TCP","1494"
"1996","Feb  9, 2025 01:29:22.848007589 IST","91.189.91.83","172.20.0.6","80","38854","TCP","2922"
"1997","Feb  9, 2025 01:29:22.848009879 IST","91.189.91.83","172.20.0.2","80","43416","TCP","2922"
"1998","Feb  9, 2025 01:29:22.848017449 IST","172.20.0.6","91.189.91.83","38854","80","TCP","94"
"1999","Feb  9, 2025 01:29:22.848251269 IST","172.20.0.3","185.125.190.83","37384","80","TCP","94"
"2000","Feb  9, 2025 01:29:22.848256888 IST","172.20.0.8","185.125.190.83","43284","80","TCP","94"
"2001","Feb  9, 2025 01:29:22.848295178 IST","185.125.190.82","172.20.0.7","80","33680","TCP","4350"
"2002","Feb  9, 2025 01:29:22.848396435 IST","185.125.190.83","172.20.0.8","80","43284","TCP","5778"
"2003","Feb  9, 2025 01:29:22.848702436 IST","185.125.190.83","172.20.0.3","80","37384","TCP","4350"
"2004","Feb  9, 2025 01:29:22.848735337 IST","172.20.0.7","185.125.190.82","33680","80","TCP","94"
"2005","Feb  9, 2025 01:29:22.848740058 IST","172.20.0.9","91.189.91.83","45282","80","TCP","94"
"2006","Feb  9, 2025 01:29:22.848758709 IST","91.189.91.83","172.20.0.6","80","38854","TCP","2922"
"2007","Feb  9, 2025 01:29:22.848762974 IST","172.20.0.6","91.189.91.83","38854","80","TCP","94"
"2008","Feb  9, 2025 01:29:22.848803529 IST","185.125.190.82","172.20.0.5","80","42272","TCP","4350"
"2009","Feb  9, 2025 01:29:22.848825739 IST","91.189.91.83","172.20.0.9","80","45282","TCP","2922"
"2010","Feb  9, 2025 01:29:22.848846705 IST","185.125.190.83","172.20.0.10","80","45774","TCP","2922"
"2011","Feb  9, 2025 01:29:22.849048536 IST","185.125.190.82","172.20.0.7","80","33680","TCP","4350"
"2012","Feb  9, 2025 01:29:22.849075903 IST","172.20.0.5","185.125.190.82","42272","80","TCP","94"
